[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 38.322769
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 8.350368
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 66.247635
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 25.013107
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000001
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000041
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 37.298073
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 8.274721
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.187936
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 8.276684
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 77.123131
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.007826
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000087
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.040495
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 61.974148
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 59.100761
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 48.406029
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 70.957672
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 62.733810
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.003044
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 41.572441
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 34.878700
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 41.298363
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 21.635258
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 41.312859
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000638
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 53.680374
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000005
